sector,ticker
xmj,ADV
xmj,MCT
xmj,CAV
xmj,GSN
xmj,AKN
xmj,VR8
xmj,CAZ
xmj,CGN
xmj,SRN
xmj,ACP
xmj,A1M
xmj,NXM
xmj,TRN
xmj,CLZ
xmj,NRX
xmj,GTE
xmj,ADY
xmj,MR1
xmj,CG1
xmj,CXM
xmj,DDD
xmj,TKM
xmj,KMT
xmj,SNG
xmj,ABX
xmj,FIN
xmj,AQD
xmj,HNR
xmj,LNY
xmj,ARO
xmj,ANL
xmj,AQX
xmj,JDR
xmj,BOA
xmj,SPQ
xmj,AAU
xmj,RGL
xmj,SLZ
xmj,OAU
xmj,QEM
xmj,TPO
xmj,KWR
xmj,ELE
xmj,HAW
xmj,MLM
xmj,SPN
xmj,TMR
xmj,CVS
xmj,LIN
xmj,KTA
xmj,VIC
xmj,DCX
xmj,AL8
xmj,RIM
xmj,SHE
xmj,SAU
xmj,GTR
xmj,ODM
xmj,SCI
xmj,TIN
xmj,GNM
xmj,GUL
xmj,PF1
xmj,ZAG
xmj,QML
xmj,SI6
xmj,GSM
xmj,RFR
xmj,SCN
xmj,CY5
xmj,RMX
xmj,BUX
xmj,BTR
xmj,SHH
xmj,CR9
xmj,EMU
xmj,TRL
xmj,GIB
xmj,PNN
xmj,CR1
xmj,RIE
xmj,GRL
xmj,PSL
xmj,BAR
xmj,LSR
xmj,BYH
xmj,AKO
xmj,WC8
xmj,SER
xmj,DTM
xmj,PTR
xmj,PPY
xmj,REZ
xmj,CRL
xmj,WSI
xmj,KFE
xmj,PUA
xmj,MDI
xmj,CNL
xmj,CXX
xmj,BMG
xmj,LLO
xmj,BNR
xmj,QGL
xmj,AYM
xmj,FTZ
xmj,ENT
xmj,AUN
xmj,ANW
xmj,AUQ
xmj,SMI
xmj,GES
xmj,BPM
xmj,MRR
xmj,CZL
xmj,CSE
xmj,CRS
xmj,MBK
xmj,RCR
xmj,CDT
xmj,RML
xmj,KGM
xmj,NSM
xmj,BMO
xmj,NPM
xmj,MRZ
xmj,THR
xmj,SUH
xmj,MXR
xmj,CBY
xmj,AMD
xmj,EMT
xmj,RDS
xmj,MRQ
xmj,DAF
xmj,OKR
xmj,KP2
xmj,PNM
xmj,AGC
xmj,WML
xmj,PGD
xmj,PRS
xmj,NWM
xmj,XTC
xmj,RAG
xmj,ALY
xmj,ERL
xmj,QXR
xmj,TMS
xmj,FAU
xmj,SRI
xmj,BDG
xmj,CUL
xmj,GED
xmj,BCA
xmj,PVW
xmj,EFE
xmj,RLC
xmj,M24
xmj,TKL
xmj,NCR
xmj,MLS
xmj,SBR
xmj,CRB
xmj,NTL
xmj,M2R
xmj,AQC
xmj,NES
xmj,TG1
xmj,WCN
xmj,AJY
xmj,G88
xmj,NME
xmj,MHK
xmj,PKO
xmj,OZM
xmj,NMR
xmj,MOH
xmj,TYX
xmj,PAM
xmj,ZMI
xmj,ENV
xmj,HHM
xmj,TMX
xmj,KGD
xmj,FNT
xmj,MQR
xmj,TMG
xmj,CZN
xmj,KFM
xmj,RBR
xmj,AEV
xmj,AVW
xmj,VIA
xmj,ERW
xmj,RAN
xmj,PAK
xmj,AWJ
xmj,AAJ
xmj,AHN
xmj,SFM
xmj,APG
xmj,CML
xmj,RNX
xmj,RMG
xmj,MTB
xmj,WSR
xmj,AX8
xmj,OKJ
xmj,ALB
xmj,A8G
xmj,CMC
xmj,CMD
xmj,TEM
xmj,MEG
xmj,DMG
xmj,RMI
xmj,GLA
xmj,NXE
xmj,LML
xmj,KOR
xmj,AOA
xmj,HGM
xmj,TRM
xmj,HOR
xmj,AXT
xmj,NMG
xmj,RMT
xmj,GCR
xmj,AHK
xmj,ATM
xmj,PBX
xmj,CGM
xmj,CDH
xmj,AII
xmj,AM7
xmj,AQM
xmj,AS2
xmj,BEZ
xmj,CDR
xmj,CSM
xmj,FG1
xmj,LM8
xmj,MMG
xmj,OZZ
xmj,POL
xmj,RBX
xnj,TCL
xnj,BXB
xnj,SYD
xnj,REH
xnj,AIA
xnj,QAN
xnj,SVW
xnj,AZJ
xnj,CIM
xnj,QUB
xnj,ALX
xnj,ALQ
xnj,CWY
xnj,DOW
xnj,RWC
xnj,BIN
xnj,AIZ
xnj,IPH
xnj,MGH
xnj,PPK
xnj,DBI
xnj,JLG
xnj,SIQ
xnj,MMS
xnj,MND
xnj,SGF
xnj,ASB
xnj,GWA
xnj,NWH
xnj,EOS
xnj,AQZ
xnj,EHL
xnj,FLN
xnj,PPE
xnj,AMA
xnj,SSM
xnj,CDD
xnj,SST
xnj,SRG
xnj,ITG
xnj,KSC
xnj,LYL
xnj,SRL
xnj,MAD
xnj,AIM
xnj,VEE
xnj,EGN
xnj,QIP
xnj,KSS
xnj,PET
xnj,A2B
xnj,GNP
xnj,BSA
xnj,KPG
xnj,FLC
xnj,SXE
xnj,REX
xnj,RDG
xnj,CYG
xnj,CUP
xnj,ARA
xnj,LAU
xnj,CPV
xnj,DUR
xnj,FBR
xnj,PTB
xnj,ANG
xnj,LBL
xnj,ACF
xnj,SND
xnj,RFX
xnj,3DA
xnj,AMX
xnj,MPP
xnj,MXI
xnj,OEC
xnj,HIT
xnj,CVL
xnj,CLX
xnj,DRO
xnj,BOL
xnj,ASH
xnj,NAM
xnj,HRL
xnj,DCG
xnj,XRF
xnj,KTG
xnj,KOV
xnj,RFT
xnj,ECL
xnj,AFL
xnj,OVT
xnj,HNG
xnj,WWG
xnj,AEI
xnj,VRS
xnj,QHL
xnj,MYG
xnj,AJL
xnj,IGE
xnj,CI1
xnj,AWN
xnj,SOP
xnj,VBC
xnj,XTE
xnj,14D
